Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,loss
11-Nov-17,North Carolina,Fayetteville,2835 Bragg Blvd,1,5,N/A,6
10-Nov-17,Ohio,Dayton (Trotwood),193 Olive Rd,0,4,N/A,4
9-Nov-17,Pennsylvania,Philadelphia,1800 block of Ringgold,0,4,N/A,4
5-Nov-17,Texas,Sutherland Springs,216 4th St,27,20,N/A,47
4-Nov-17,Texas,Austin,N Lamar Blvd and Masterson Pass,0,4,N/A,4
4-Nov-17,Ohio,Youngstown,2810 Market St,0,4,N/A,4
4-Nov-17,California,Santa Monica,1515 Ocean Avenue,1,3,N/A,4
3-Nov-17,Minnesota,Minneapolis,10th Ave S and E 24th St,0,4,N/A,4
3-Nov-17,California,Gardena,E 163rd St and S Main St,0,4,N/A,4
3-Nov-17,New York,Buffalo,147 Roosevelt Ave,0,4,N/A,4
3-Nov-17,Louisiana,Lacombe,27600 block of Mirmar Street,1,4,N/A,5
29-Oct-17,Texas,Austin,5500 block of Ave F,1,3,N/A,4
28-Oct-17,Ohio,Toledo,1327 N Huron St,0,4,N/A,4
28-Oct-17,Virginia,Petersburg,N Sycamore St and Franklin,1,3,N/A,4
27-Oct-17,Kentucky,Louisville,1716 Prentice St,0,6,N/A,6
27-Oct-17,California,San Francisco,1100 block of Fillmore,0,4,N/A,4
23-Oct-17,California,Clearlake Oaks,13000 block of Anchor Village,2,2,N/A,4
22-Oct-17,Connecticut,Hartford,Wethersfield Avenue and Elliott Street,0,4,N/A,4
22-Oct-17,Alabama,Lanett,1606 19th St Sw,2,7,N/A,9
21-Oct-17,Florida,Jacksonville,164 E Eubanks St,0,4,N/A,4
21-Oct-17,Tennessee,Nashville,1277 12th Ave S,0,4,N/A,4
21-Oct-17,Pennsylvania,Chester,1200 block of W Carlas Ln,0,4,N/A,4
21-Oct-17,Florida,Tampa,400 Block of E Nordica St,0,4,N/A,4
18-Oct-17,Maryland,Edgewood,2111 Emmorton Park Rd,3,3,N/A,6
17-Oct-17,New York,Brooklyn,181 Martense St,0,4,N/A,4
16-Oct-17,Mississippi,Meridian,5th Street,1,3,N/A,4
15-Oct-17,Texas,Houston,6233 Gulfton St,2,2,N/A,4
15-Oct-17,Arizona,Phoenix,107th Ave and Camelback Rd,1,3,N/A,4
